MODELO ,COLOR,Artículo,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,
203,BCO,203BCO,388,287,185,0,0,20,10868,0,0,1,0,0,17,0,0,0,0,0,48,
203,NDE,203NDE,353,484,148,0,0,220,1235,0,0,0,0,0,27,0,0,0,0,0,0,
470,NDE,470NDE,111,0,9,0,0,0,200,0,0,0,100,0,1,0,6,0,0,0,18, 
470,NGO,470NGO,203,0,9,0,0,0,200,0,0,0,0,0,1,0,3,0,0,0,0,
480,BCO,480BCO,0,0,10,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,12,
480,NDE,480NDE,57,0,0,0,0,0,0,0,0,0,0,0,1,0,120,0,0,0,0,
483,BCO,483BCO,80,0,0,0,0,0,200,3,0,0,0,0,0,0,0,7,0,0,0,
483,NDE,483NDE,80,0,0,0,0,0,200,3,0,0,0,0,0,0,0,7,12,0,8,
601,COC,601COC,0,0,0,0,285,144,0,0,0,5,0,0,0,0,0,0,0,9,0,
601,NGO,601NGO,0,0,0,429,0,0,0,0,0,5,0,0,0,0,0,8,0,4,0,
1060,BCO,1060BCO,163,183,258,309,334,379,350,362,312,362,184,188,201,168,261,303,375,383,595,
1060,BGE,1060BGE,275,274,447,689,602,641,590,674,498,766,342,329,317,232,509,510,643,738,1054,
1060,NGO,1060NGO,140,125,153,193,203,243,180,217,192,236,178,191,203,100,202,167,203,233,382,
1061,BCO,1061BCO,6,2,28,1,14,7,5,37,2,11,5,0,0,0,8,0,0,1,6,
1061,NDE,1061NDE,95,160,315,307,414,392,382,404,366,440,195,174,107,187,378,294,395,428,599,
1061,NGO,1061NGO,86,76,138,112,169,149,129,163,193,243,113,122,82,97,198,130,139,186,262,
1700,BCO,1700BCO,28,99,106,3,1,0,10,0,9,0,6,0,12,0,0,0,0,0,192,
1700,BGE,1700BGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,
1700,NGO,1700NGO,3,0,24,0,0,0,0,0,9,0,36,0,6,0,0,0,0,0,0,
1751,BCO,1751BCO,191,294,253,266,408,303,316,264,334,465,181,296,244,263,303,233,349,354,489,
1751,BGE,1751BGE,7,977,479,496,583,449,397,427,509,798,320,387,269,352,433,344,527,551,621,
1751,NGO,1751NGO,170,189,178,206,230,212,167,233,233,318,136,219,141,202,219,114,188,208,258,
1758,BCO,1758BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,
1758,COC,1758COC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,
1758,NDE,1758NDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,
1758,NGO,1758NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,
1870,BCO,1870BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,
1870,CHI,1870CHI,875,906,1014,1246,1148,1035,824,846,1009,1568,926,1290,1274,948,1255,1197,2141,1324,1388,
1870,NGO,1870NGO,559,506,566,737,636,463,392,455,617,885,651,771,867,481,678,682,1275,651,733,
1876,COC,1876COC,0,0,0,0,754,0,234,0,0,0,0,0,0,1,0,44,21,0,14,
1876,NGO,1876NGO,0,0,0,0,476,118,0,0,0,0,0,0,0,0,0,28,21,0,0,
2023,NGO,2023NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,58,
2024,ROS,2024ROS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,54,
2025,CAF,2025CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,
2025,COC,2025COC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,
2026,COC,2026COC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,54,
2027,CER,2027CER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,
2028,NGO,2028NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,
2029,FPE,2029FPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,
2038,BCO,2038BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,73,
2038,NGO,2038NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,73,
2060,BCO,2060BCO,442,558,633,843,684,676,679,742,681,1212,528,715,620,579,709,648,725,835,1088,
2060,BGE,2060BGE,321,415,428,738,525,545,447,542,522,1113,504,662,596,493,641,603,735,780,857,
2060,NGO,2060NGO,227,275,274,325,298,295,215,216,240,539,267,439,322,282,403,244,368,355,400,
2061,NDE,2061NDE,229,208,421,156,120,114,61,60,110,195,184,89,69,76,99,122,163,148,117,
2061,NGO,2061NGO,217,172,327,108,68,95,39,36,78,125,67,72,55,67,97,85,97,116,92,
2090,BCO,2090BCO,475,298,771,582,326,393,505,350,236,284,822,385,758,168,381,663,1400,242,1088,
2090,BGE,2090BGE,375,210,790,491,290,280,122,616,206,288,812,298,600,115,381,580,1270,188,865,
2090,CAF,2090CAF,2099,0,1026,0,0,0,300,400,0,0,150,0,37,0,105,0,63,0,874,
2090,NGO,2090NGO,292,181,618,323,205,209,400,500,145,149,573,278,520,76,295,475,954,121,819,
2090,VIN,2090VIN,0,0,2491,0,0,1,0,0,31,0,0,0,3,0,0,0,0,0,0,
2095,AZU,2095AZU,0,0,1459,0,0,0,0,0,12,0,0,0,12,0,48,0,21,0,66,
2095,CHI,2095CHI,266,134,195,220,155,168,57,123,96,128,274,239,382,55,346,493,343,119,105,
2095,CHO,2095CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,
2095,MAU,2095MAU,0,0,0,0,696,365,0,0,0,0,125,0,0,0,27,1,66,18,81,
2146,CHI,2146CHI,154,151,171,136,172,136,119,103,164,241,106,152,116,143,168,0,0,0,0,
2146,NGO,2146NGO,141,127,133,109,120,124,85,83,142,181,104,145,115,128,136,0,0,0,0,
2170,COC,2170COC,0,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,9,29,0,0,
2290,CHI,2290CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,
2806,DUR,2806DUR,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,12,0,
3060,NDE,3060NDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,526,0,21,
4301,BCO,4301BCO,9,0,2,12,2,8,5,0,2,12,0,4,0,0,4,2,0,0,0,
5224,COC,5224COC,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,
5224,NGO,5224NGO,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,
5225,AVE,5225AVE,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,
5225,BCO,5225BCO,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,
5225,MAU,5225MAU,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,
5751,BCO,5751BCO,0,0,0,0,0,0,0,6,0,6,10,0,6,2,0,0,0,0,0,
5751,BGE,5751BGE,0,0,0,0,0,0,0,6,0,6,12,0,24,3,0,0,0,0,0,
5751,NGO,5751NGO,0,0,0,0,0,0,0,0,0,6,2,0,24,2,0,0,0,0,0,
6079,BCO,6079BCO,16,12,1,7,0,9,0,34,0,14,2,6,7,37,0,2,15,0,0,
6079,NGO,6079NGO,0,0,3,13,6,9,8,5,0,0,1,10,6,2,6,1,6,0,0,
6101,BCO,6101BCO,14,0,0,21,4,6,42,7,32,8,0,14,6,0,0,0,43,0,0,
6101,NGO,6101NGO,0,0,0,0,0,0,6,0,21,8,0,0,0,0,0,0,19,0,0,
7034,BCO,7034BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7037,BCO,7037BCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
7037,NGO,7037NGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
7401,BCO,7401BCO,0,0,8,7,0,12,8,2,31,12,0,0,0,0,0,0,6,0,15,
8060,BCO,8060BCO,280,341,366,443,485,481,621,394,422,568,355,409,404,277,435,441,604,309,464,
8060,NDE,8060NDE,503,465,548,738,692,619,451,467,543,932,502,653,656,490,607,633,932,624,680,
8060,NGO,8060NGO,441,423,429,571,451,446,685,397,427,724,557,728,673,423,504,436,733,522,629,
8095,CHI,8095CHI,10,0,4,0,0,0,300,24,15,0,125,0,0,0,18,0,0,0,537,
8751,BCO,8751BCO,3,4,4,5,4,2,4,30,12,2,12,2,6,0,0,8,13,0,11,
8751,NDE,8751NDE,83,58,54,108,1201,389,260,59,66,40,69,59,78,24,67,105,96,29,65,
8751,NGO,8751NGO,55,73,27,83,1238,253,176,46,49,22,41,36,49,10,29,24,27,0,14,
9003,BCO,9003BCO,47,31,14,246,47,45,19,35,31,38,75,0,23,9,40,17,16,21,19,
9003,NDE,9003NDE,12,85,4,339,76,91,49,119,67,48,138,0,25,23,40,72,70,38,40,
9003,NGO,9003NGO,77,10,8,149,21,36,6,34,23,25,43,0,20,5,26,13,8,20,2,
9020,BCO,9020BCO,0,180,0,0,0,0,0,0,100,0,0,0,0,0,0,0,24,0,37,
9020,NDE,9020NDE,0,180,0,0,150,0,0,0,60,0,0,0,0,0,0,0,35,0,29,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
